Headline,Content,News Categories,Date
Congress leader Baljinder Singh shot dead at home in Punjab's Moga,"Congress leader Baljinder Singh was shot dead at his house in Punjab's Moga on Monday, a video of which has also surfaced online. According to a report by the Free Press Journal, Singh received a call from someone regarding the signing of documents. In the video, the accused can be seen shooting at Singh while he is walking towards him. ",['national'],19-09-2023
17-year-old girl preparing for NEET dies by suicide in Rajasthan's Kota,"Another NEET aspirant died by suicide in Rajasthan's Kota on Monday, taking the number of student suicides this year to around 26. The girl was reportedly a native of UP's Mau and had been staying at a hostel in the city's Vigyan Nagar area. She was rushed to a hospital after she reportedly started vomiting, and passed away later.",['national'],19-09-2023
"Hampers to welcome MPs in new Parliament tomorrow, pics surface","In order to mark the first-ever working day of the new Parliament building, Members of Parliament will receive a copy of the Constitution of India, books related to the Parliament, a commemorative coin and a stamp on Tuesday. A giftbag will contain these presents for the MPs. The special Parliament session will resume in the new Parliament building on Tuesday.",['national'],19-09-2023
"Only 10% women lawmakers in RS, while only 14% in LS: INC's Kharge","Congress President Mallikarjun Kharge, while speaking in the Rajya Sabha, said, ""Women Reservation Bill should come. We all tried. This issue, if you (Chair) raise, then they will."" Highlighting the number of women lawmakers in Parliament, Kharge said they constituted only 10% of the lawmakers in the Rajya Sabha, while the percentage of women lawmakers in Lok Sabha is 14%. ",['national'],19-09-2023
"Ganesh temple decorated with notes, coins worth ₹2.5 crore in Bengaluru","The Sri Sathya Ganapathi Temple in Bengaluru adorned its premises and idols with Indian currency notes and coins worth ₹2.5 crore on the occasion of Ganesh Chathurthi. The decorations include ₹500, ₹200, ₹100, ₹50, ₹20 and ₹10 notes along with coins. It took a dedicated team of 150 individuals a month to execute the elaborate decoration.",['national'],19-09-2023
"Bee attack during funeral in K'taka leaves 1 dead, 14 hospitalised",One person died and at least 14 others were injured after bees attacked them during the funeral of a woman in Karnataka. The swarm of forest bees attacked the people gathered for the funeral as soon as the funeral pyre was lit. The injured were shifted to a hospital while one of the injured remains critical. ,['national'],19-09-2023
Manipur govt forms inquiry commission to probe killing of soldier,"A 'one man inquiry commission' has been formed by Manipur government to ascertain facts and circumstances leading to the abduction and killing of Sepoy Serto Thangthang Kom. The commission will submit a report to the government within a month, an order said. Kom was abducted from his house by unidentified men on September 16 while he was on medical leave. ",['national'],19-09-2023
"Cabinet approves Bill giving 33% reservation to women in LS, state Assemblies: Reports","The Union Cabinet has approved the Constitution (One Hundred and Eighth Amendment) Bill, 2008 that grants 33% reservation to women in Lok Sabha and state Assemblies, reports said on Monday. This came after Opposition leaders including Congress MP Mallikarjun Kharge and JD(U) MP Ram Nath Thakur demanded that the government bring the Bill in the ongoing special Parliament session.",['national'],19-09-2023
Won't accept his remains: Wife of Army soldier abducted & shot dead in Manipur,"The wife of Indian Army soldier Sepoy Serto Thangthang Kom, who was abducted from his home and shot dead in Manipur, has said she would not accept his mortal remains until the reason behind his killing was established. Serto was home on 15 days' leave and was scheduled to report back to duty at the Leimakhong Military Garrison on Monday.",['national'],19-09-2023
"Heavy to very heavy rainfall warning issued for several states for Tuesday, list released","The India Meteorological Department (IMD) has issued heavy to very heavy rainfall warning for several states for Tuesday. Heavy to very heavy rainfall is very likely over Gujarat. Meanwhile, heavy rainfall is very likely over Rajasthan, Odisha, Assam, Meghalaya, Nagaland, Manipur, Mizoram and Tripura.",['national'],19-09-2023
We need to get over the 'West is the bad guy' syndrome: S Jaishankar,"In an apparent dig at China, External Affairs Minister S Jaishankar said it's not the West that's ""flooding Asia and Africa with goods on a massive scale"". Stating that he 'wasn't batting for the West', Jaishankar added, ""We need to get over the syndrome of the past that...West is the bad guy and on the other side are...developing countries.""",['national'],19-09-2023
₹360-cr insurance cover bought by mandal that installed 'India's richest Ganpati',"The GSB Seva Mandal, which installed a 'Mahaganpati' ahead of Ganesh Chaturthi in Maharashtra's Mumbai, has taken a ₹360.40-crore insurance cover this year. The idol is believed to be 'India's richest Ganpati' and is adorned with over 66 kg gold and over 300 kg silver. The idol has been installed in the King's Circle area in the city.",['national'],19-09-2023
"14-year-old girl dies, several others hospitalised after eating shawarma in TN","A 14-year-old schoolgirl died after eating chicken shawarma bought from a hotel in Tamil Nadu. Thirteen medical college students were also reportedly hospitalised on the same night after eating shawarma from the same hotel. Namakkal Collector S Uma ordered the destruction of all food items and issued a notice to the hotel, which was then sealed.",['national'],19-09-2023
K'taka's Hoysala temples added to UNESCO's World Heritage site list,"Sacred Ensembles of the Hoysalas, the group of Hoysala temples in Karnataka, have made it to the list of UNESCO's World Heritage List. Hoysala architecture was a building style of the Hoysala empire in the 12th and 13th centuries. Temples built during this era include the Channakeshava Temple at Belur and the Hoysaleshwara Temple at Halebidu. ",['national'],19-09-2023
"Zareen Khan's lawyer issues statement on arrest warrant, says 'she was victim of fraud'","After a Kolkata court issued an arrest warrant against actress Zareen Khan in connection to a 2018 cheating case, her lawyer issued a press statement, saying, ""She has been a victim of fraud."" The note added that the event organisers (who complained against Zareen) deceived the actress and pressured her to attend the event in Kolkata ""totally unescorted"".","['entertainment', 'national']",19-09-2023
"What is Women's Reservation Bill, demanded by parties at Parliament today?","At an all-party meeting convened by the government at the Parliament special session on Monday, several political parties demanded a discussion and passing of the Women's Reservation Bill. The bill seeks to reserve 33% of seats in the Lok Sabha and state legislative assemblies for women. One-third of total seats reserved for SCs and STs will be reserved for women.","['politics', 'national']",19-09-2023
Wilfully denying sex to spouse amounts to cruelty: Delhi High Court,"The Delhi High Court has upheld the divorce granted to a couple whose marriage failed due to non-consummation after 35 days. It noted that ""wilful denial of sexual relationship by a spouse amounts to cruelty, especially when the parties are newly married"". It added, ""There is nothing (more) fatal to marriage than disappointment in sexual relationship.""",['national'],19-09-2023
"No Chinese ambassador in India for nearly a year, longest gap since 1976","By October, the Chinese embassy in India will have been without an envoy for a year. It's the longest such gap in ambassadorial postings since 1976, Hindustan Times reported. The Chinese side is yet to request a formal agreement for posting a new ambassador in the embassy. The last Chinese ambassador, Sun Weidong, completed his term on October 26, 2022.","['world', 'national']",19-09-2023
"Section 144 imposed in Noida, Gr Noida due to MotoGP, trade show from Sept 16-25","Section 144 has been imposed in Noida and Greater Noida from September 16-25 in view of MotoGP, UP International Trade Show and Ganesh Chaturthi celebrations. The UP International Trade Show is slated to take place from September 21-25 and the MotoGP Bharat at Buddh International Circuit, Greater Noida from September 22-24. Schools in Noida will remain closed on September 22. ",['national'],19-09-2023
What do the statues guarding 6 gates of new Parliament building symbolise?,"The six gates of new Parliament building are named after real and mythological creatures. The ceremonial entrances have guardian statues of Gaja symbolising wisdom and intellect, Ashva representing courage and Garuda symbolising progress. At the public gates, statues Makara symbolises unity and diversity, Shardula represents balance of strength and beauty and Hamsa symbolises self-realisation.",['national'],19-09-2023
"Raj teacher assaulted, face blackened for molesting girl student","A government school teacher accused of molesting a 16-year-old girl student was assaulted and his face blackened by the minor's family members in Rajasthan, police said. Karanpur Circle Officer Sudha Palawat said the girl's family members, after learning about the alleged incident, reached the school and assaulted the teacher, a video of which surfaced online. ",['national'],19-09-2023
What will happen to the old Parliament building?,"The old Parliament building, which will no longer see Lok Sabha and Rajya Sabha sessions, will not be demolished due to its historic and archeological significance, reports said. Union Minister Hardeep Singh Puri had announced in 2021 that the old building would have to be repaired and made available for alternative use. It'll reportedly provide space for parliamentary events.",['national'],19-09-2023
What is this: Supreme Court as it rejects 'one constitutional religion' plea,"The Supreme Court on Monday dismissed a plea seeking a single ""constitutional religion"" in the country. The bench asked the petitioner, ""You say there should be one constitutional religion. Can you prevent people from following their own religions? What is this?"" The bench asked the petitioner from where he got the thought of filing such a petition.",['national'],19-09-2023
Video shows newly inaugurated Dwarka Sector 25 metro station,"PM Narendra Modi on Sunday inaugurated the extension of Delhi Metro's Airport Line which now terminates at YashoBhoomi Dwarka Sector 25 station. With the addition of this section, the total length of the Airport Express Line from New Delhi to Yashobhoomi Dwarka Sector 25 is now 24.9 km. The metro operation on this section started at 3 pm on Sunday.
",['national'],19-09-2023
Sentiments hurt: Maratha group on Shivaji Maharaj's seal on Ganesha idol's feet,"Sakal Maratha Samaj objected to the placement of Chhatrapati Shivaji Maharaj's royal seal on Mumbai's Lalbaugcha Raja's idol feet. The group that is behind the ongoing Maratha reservation agitation wrote to Mumbai Police asking the officials to file a case against the organisers. Sentiments of the Maratha community were hurt by the move, the Maratha group said.",['national'],19-09-2023
"He was abducted at gunpoint, our 10-yr-old son saw it: Wife of soldier killed in Manipur","The wife of an Indian Army soldier, who was abducted and murdered by unidentified men in Manipur, said, ""My husband was abducted at gunpoint. Our [10-year-old] son witnessed the abduction."" ""When he saw the gun pointed at my husband, he hurriedly informed me,"" Somiwon Kom added. She said the accused had escaped by the time she arrived on the scene.",['national'],19-09-2023
Woman & her sons thrash policeman after he tells them to 'drive carefully' in Delhi,"A woman and her two sons allegedly attacked a policeman with bricks and iron rod as he told them to drive carefully after their car hit the front side of his car in Delhi. The accused men allegedly blocked the policeman's car, shouted at him and threw bricks at his windshield. He said he lost consciousness after being beaten.",['national'],19-09-2023
"Car hits cow, drags it for 200 metres in Ghaziabad; video surfaces","A cow was reportedly dragged for around 200 metres under a car after being hit by it in Uttar Pradesh's Ghaziabad. A video of the incident shows the car running over the cow sitting in front of the vehicle. A Hindu activist has filed a complaint over the matter, claiming that the cow is in serious condition, according to reports.",['national'],19-09-2023
"Who is engineer Chandrani Murmu, the youngest-ever MP mentioned in PM's speech?",PM Narendra Modi mentioned Biju Janata Dal's Chandrani Murmu in his address during the Special Session of Parliament in Lok Sabha today. She became the youngest Lok Sabha MP in history at age 25 after winning from Odisha's Keonjhar constituency in 2019. Murmu holds BTech in mechanical engineering. PM Modi mentioned Murmu while talking about the strength of India's democracy.,['national'],19-09-2023
IIT Kanpur Director Abhay Karandikar appointed as Centre's Science & Tech Secretary,"IIT Kanpur's Director Abhay Karandikar has been appointed Secretary of the Department of Science and Technology (DST), the Centre said on Sunday. The 58-year-old has been one of the brains behind the introduction of 5G technology in India. The electrical engineer's team worked on creating ""frugal 5G"" for connecting rural India with the 5G network.","['national', 'technology']",19-09-2023
How is the new Parliament building different from the old one?,"The new Parliament building is designed to comfortably accommodate 888 Members of Parliament in the Lok Sabha, compared to 543 seats in the old Lok Sabha. The new building won't feature a central hall like the older one. Each seat of the Members of Parliament will now be equipped with a multimedia display in the new building.",['national'],19-09-2023
Time stops for you: Mahindra as he praises PM Modi's pace of work,"Mahindra Group Chairman Anand Mahindra took to X to wish Prime Minister Narendra Modi on his birthday on Sunday. The billionaire posted, ""The relentless pace of your work is such that time stops for you. So, I'm not sure whether birthdays, which symbolise the passing of time, mean anything to you."" ""Nevertheless...I wish you a very happy birthday,"" he added. ","['business', 'national']",19-09-2023
Never thought kid living on platform would reach Parliament: PM,"While addressing the Lok Sabha during the special session of the Parliament, PM Narendra Modi recalled the first time he entered the Parliament premises. ""It was because of the strength of democracy in India and the commitment and admiration of the citizens that the son of a poor family who lived on the railway platform reached Parliament,"" he said. ",['national'],19-09-2023
"New French Envoy arrives in India, says 'Proud to be in India'","France's newly appointed Ambassador to India, Thierry Mathou, arrived in New Delhi on Monday to assume his new role and said he's ""happy and proud"" to be in India. He said, ""I'm taking office at an exceptional time."" ""I look forward to working with Indian authorities and civil society to translate the vision of our leaders into action,"" he added.","['world', 'national']",19-09-2023
BJP MP Satish Dubey injured after car rams into vehicle in Bihar,"BJP MP Satish Chandra Dubey and at least four others were injured after the car they were travelling in rammed into a vehicle ahead of it in Bihar's Patna. Dubey is undergoing treatment, however,  his condition is said to be out of danger, according to the police. The driver, who is grievously injured, and a bodyguard are also undergoing treatment.","['politics', 'national']",19-09-2023
SC refuses to entertain J'khand CM's plea against ED summons,"The SC on Monday refused to entertain Jharkhand CM Hemant Soren's plea against ED summons in a case of alleged money laundering and asked him to approach the HC in the matter. In a petition filed in the SC, Soren alleged the case was a clear ""abuse of law"" by Centre and an attempt to destabilise his democratically elected government.",['national'],19-09-2023
"Video shows YouTuber Vasan crashing on highway while performing bike stunt, case filed","YouTuber TTF Vasan was injured after crashing on a highway in Tamil Nadu while attempting a bike stunt, with the accident caught on a CCTV camera. The accident took place on the Chennai-Coimbatore route and police have reportedly filed a case for rash driving against Vasan. He was hospitalised after he lost control of his bike while attempting a wheelie.",['national'],19-09-2023
"Punjab ex-minister & his family drugged by domestic help, house ransacked & robbed","Former Akali Dal minister Jagdish Singh Garcha, his two family members and a domestic help were found unconscious and their house was found ransacked in Punjab on Monday. Police suspect a male domestic help, who is missing, sedated the family after serving food laced with intoxicants and escaped with cash, ornaments and valuables. The four victims were rushed to hospital.",['national'],19-09-2023
"Rate card for hiring police officer, police dog, entire station in Kerala released","A rate card displaying costs of hiring a civil police officer, police dog and police station in Kerala has been released, Times of India reported citing a government order. Hiring a circle inspector rank officer will cost ₹3,035-3,340 per day, whereas a police dog can be hired for ₹7,280 a day. Hiring the entire police station costs ₹12,000 a day.",['national'],19-09-2023
"Who is Bimal Patel, the architect behind the new Parliament building?","Architect Bimal Hasmukh Patel played a crucial role in designing the new Parliament building as part of the Central Vista project. He also contributed in designing the Kashi Vishwanath Dham in Varanasi, Sabarmati Riverfront Development in Ahmedabad, revamp of Jagannath Temple in Puri, etc. Patel, who won the Padma Shri in 2019, is currently the President of Ahmedabad's CEPT University.",['national'],19-09-2023
5 trapped as river water enters fields in Guj; video shows rescue,"At least five people were rescued after they got trapped when the water from a river entered the fields in Gujarat's Anand district, according to officials. A video of the people being rescued in a boat has surfaced online. This comes as over 9,600 people were shifted to safety across the state amid flooding following heavy rainfall.",['national'],19-09-2023
Astrologer must have told PM to hold special session: RJD MP,"RJD MP Manoj Jha said that PM Narendra Modi must have called the special session of Parliament on the recommendation of some astrologer. ""The PM believes in all that…Don't say that you have no agenda. The agenda is very clear. We would like to see what the other agendas are. But there is nothing special about it,"" he told ANI.",['national'],19-09-2023
"Bill to appoint CEC, ECs dropped from Parliament agenda","The bill to form a panel for the appointment of Chief Election Commissioner (CEC) and other Election Commissioners (ECs) has been dropped from the list of legislative business of special Parliament session. Earlier, the Opposition had resisted the bill. In the bill, Centre had proposed to replace the Chief Justice of India from the appointment panel with a cabinet minister. ",['national'],19-09-2023
"MPs laugh as PM praises reporters, says 'even shared inside scoops'","A video showing MPs laughing after PM Narendra Modi said that journalists shared news about what happened inside the Parliament and even ""inside scoops"" has surfaced online. PM Modi made the remark while he was praising journalists who ""spent their lives"" reporting about the Parliament. ""People might not know their names, but no one can forget their work,"" he added.",['national'],19-09-2023
Women MPs share memories from old Parliament in handwritten notes,"As the Parliament proceedings will move into new building on Tuesday, a few women MPs penned down their experiences and memories of the old Parliament. ""Proud to be a part of the old Parliament's journey,"" Shiv Sena (UBT) MP Priyanka Chaturvedi said. Meanwhile, TMC MP Mahua Moitra said the old Parliament building will have a ""special place in my heart"".","['politics', 'national']",19-09-2023
Old Parliament building will always have India's soul in it: PM Modi,"At the special session of Parliament in the old Parliament building, Prime Minister Narendra Modi said that leaving the place would be an emotional moment for everyone. ""This place, even after years, will sustain the soul of India and democracy,"" he said. ""Many bitter-sweet memories have been associated with it,"" he further said.",['national'],19-09-2023
"Many suspect India, said G20 Declaration won't occur but it did: PM","PM Narendra Modi during his address in the old Parliament building's Lok Sabha said that many people have a tendency to be suspicious of India and this has been going on since Independence. Adding that during the G20 Summit, people were ""confident"" that a declaration won't happen, he further said that however, it is India's ""strength"" that this also happened.","['politics', 'national']",19-09-2023
Pandit Nehru gave 'stroke of midnight' speech here: PM on leaving old Parliament building,"Speaking about the old Parliament building, PM Narendra Modi recalled how it was here that Jawaharlal Nehru, the first Prime Minister of the country, gave his 'stroke of midnight' speech which laid the foundation for India as an independent country. ""The echoes of Pandit Nehru's 'At the stroke of the midnight...' in this House will keep inspiring us,"" he stated.",['national'],19-09-2023
"Couple yells, argues with IndiGo staff after arriving late at Mumbai airport","A video of a couple arguing with an IndiGo staff after allegedly arriving late for boarding at Mumbai airport has gone viral online. In the video, a man accompanied by a woman and a child is seen shouting at the airline's staff. Meanwhile, the ground staff member is seen trying to reason with the passengers and speaking on the phone.",['national'],19-09-2023
Special session may be small in duration but big on occasion: PM,"During his address ahead of the Special Parliament Session, PM Narendra Modi praised the Chandrayaan-3 mission and mentioned the success of the G20 Summit in Delhi along with the inauguration of the 'YashoBhoomi' centre. Adding that there's an ""atmosphere of festivity"" in the country, he further said, ""This Parliament session may be small in duration but is big on occasion.""","['politics', 'national']",19-09-2023
"Special session of Parliament begins, PM Modi to address Lok Sabha","The special session of the Parliament has begun and the first day will mark the 75 years of the parliamentary journey. While the first day will be held in the old Parliament, the rest of the session, which will end on September 22, will take place in the new Parliament. PM Narendra Modi will address the Lok Sabha.",['national'],19-09-2023
"Encounter in J&K's Anantnag enters day 6, 'charred body' recovered","The encounter between terrorists and security personnel, which has now lasted for over 100 hours, in Kokernag area in Jammu and Kashmir's Anantnag entered its sixth day on Monday. According to reports, a charred body, suspected to be of a terrorist, was recovered. This comes a day after security forces fired mortar shells towards the forest, according to officials.",['national'],19-09-2023
Historic decisions to be taken in the special session of Parliament: PM Modi,"PM Narendra Modi addressed the media ahead of the special session of the Parliament and said that historic decisions will be taken in this session. ""This session of the Parliament is short but going by the time, it is huge...A speciality of this session is that the journey of 75 years is starting from a new destination,"" he added.",['national'],19-09-2023
Pics show Ganpati idol adorned with 69 kg gold & 336 kg silver in Mumbai,"A Ganpati idol in Mumbai has been adorned with 69kg of gold and 336kg of silver this year. According to ANI, the idol was installed by the GSB Seva Mandal, one of the city's wealthiest organisers of the festival. The mandal has taken a record insurance cover of ₹360-crore that will cover the structure, public calamities and volunteers, among others.",['national'],19-09-2023
Asking kids to know names of private parts attack of leftist ecosystem: RSS chief,"RSS chief Mohan Bhagwat called the educational exercise where pre-school students were taught about their private parts an attack by Leftist ecosystem. ""I visited a school in Gujarat where a seer showed me an instruction in a kindergarten school. It said class teachers have been asked to find out whether KG-2 pupils knew names of their private parts,"" he said. 
","['politics', 'national']",19-09-2023
"Over 9,600 shifted to safety as heavy rain causes flooding in Guj","Over 9,600 people were shifted to safety and 207 other people were rescued from five districts as Gujarat witnessed flooding following heavy rainfall on Sunday. Several villages were also cut off as water levels rose in rivers like Narmada. The authorities in Ahmedabad blocked underpasses due to waterlogging after the city received 76 mm of rainfall in 12 hours.",['national'],19-09-2023
"Police couple use uniform, dept cars in viral pre-wedding shoot in Hyd; IPS officer reacts","IPS officer CV Anand reacted to a Hyderabad police couple's pre-wedding video. ""The fact that it's two police officers, I find nothing wrong in them using police department property and symbols. If they had informed us earlier we'd have definitely given consent for the shoot,"" he said. ""I advise others not to repeat this without proper permission,"" he added.",['national'],19-09-2023
Bengaluru bans slaughtering of animals today over Ganesh Chaturthi,"Bruhat Bengaluru Mahanagara Palike (BBMP) commissioner has issued an order which completely prohibits the slaughtering of animals and sale of meat under the civic body's limits today in view of Ganesh Chaturthi. The city has nearly 3,000 licenced meat shops, according to the civic body's estimates. The BBMP had issued a similar ban for the occasion last year. ",['national'],19-09-2023
"No new Nipah cases at present, 1,233 on contact list: Kerala Minister","No new cases of Nipah virus have been reported at present in Kerala, state's Health Minister Veena George said. Currently, 1,233 people are on the Nipah patients' contact list, out of which 352 people are on the high-risk. Samples of 36 bats were collected and sent for testing and house visits have been completed in 34,167 houses, she further informed.",['national'],19-09-2023
Assam CM Himanta Biswa Sarma gets Singapore's top fellowship,"Assam CM Himanta Biswa Sarma has been bestowed with Lee Kuan Yew Exchange Fellowship of Singapore, an official release said on Sunday. Sarma was also extended an invitation to visit Singapore as a Lee Kuan Yew Fellow for his ""dedicated leadership in public works and development"", the statement added. He has become the first Assam CM to receive this fellowship.","['politics', 'national']",19-09-2023
